Name,Location,Event State,Event Duration,Time Left,Theme,Registered Count,Event hosted by,Event URL
Flutter Puzzle Hack ,Online,open,"Jan 06 - Feb 28, 2022",about 2 months left,"['Design', 'Gaming', 'Web']",1524,Google,https://flutterhack.devpost.com/
NEAR MetaBUILD Hackathon,Online,open,"Dec 22, 2021 - Feb 10, 2022",about 1 month left,"['Blockchain', 'Beginner Friendly']",1457,Near Protocol,https://metabuild.devpost.com/
AWS Deep Learning Challenge,Online,open,"Jan 05 - Feb 14, 2022",about 1 month left,"['DevOps', 'Machine Learning/AI', 'Open Ended']",1153,Amazon,https://amazon-ec2-dl1.devpost.com/
AWS Disaster Response Hackathon,Online,open,"Dec 01, 2021 - Feb 07, 2022",30 days left,"['Machine Learning/AI', 'Social Good']",1055,Amazon,https://awsdisasterresponse.devpost.com/
DevRev Hackathon - Coding with AI,Online,open,"Nov 01, 2021 - Mar 31, 2022",3 months left,"['Machine Learning/AI', 'Productivity', 'Beginner Friendly']",1037,DevRev,https://devrevhack0.devpost.com/
Stratis Build Hackathon,Online,open,"Nov 29, 2021 - Jan 30, 2022",21 days left,"['Blockchain', 'AR/VR', 'Gaming']",459,Stratis,https://stratis.devpost.com/
HubSpot Themes Challenge 2021,Online,open,"Dec 01, 2021 - Jan 31, 2022",23 days left,"['Enterprise', 'Design', 'Web']",817,HubSpot,https://hubspot.devpost.com/
Convergence - Serum & Wormhole Hackathon,Online,open,"Jan 07 - 31, 2022",23 days left,"['Blockchain', 'Fintech']",475,Project Serum,https://serum-wormhole-hackathon.devpost.com/
Digital HQ Slackathon,Online,open,"Nov 16, 2021 - Feb 01, 2022",24 days left,"['Productivity', 'Enterprise', 'Communication']",408,Slack,https://slack.devpost.com/
Local Hack Day: Build 2022,Online,open,"Jan 09 - 16, 2022",7 days left,"['Beginner Friendly', 'Open Ended', 'Social Good']",768,Major League Hacking,https://lhd-build-2022.devpost.com/
DEVERA BLOCKATHON - EXPANSION ICON 2.0,Online,open,"Nov 30, 2021 - Jan 31, 2022",22 days left,['Blockchain'],223,ICON,https://deverablockathon.devpost.com/
MapsMap,Online,open,"Dec 01, 2021 - Mar 01, 2022",about 2 months left,"['Design', 'Web', 'Blockchain']",125,"Foresight, Sonophilia, Ocean & Friends",https://mapsmap.devpost.com/
Next Top TON Startup,Online,open,"Sep 06, 2021 - Jan 20, 2022",11 days left,"['Blockchain', 'Fintech', 'Enterprise']",249,GDA Capital,https://nexttopton.devpost.com/
Effect Network 1st Hackathon ,Online,open,"Nov 23, 2021 - Jan 11, 2022",2 days left,"['Blockchain', 'Productivity', 'Social Good']",171,Effect Network,https://effect-network-hackathon.devpost.com/
Health Hack,Online,open,"Nov 04, 2021 - Jan 23, 2022",15 days left,"['AR/VR', 'Health', 'Machine Learning/AI']",159,Haus Der Wissenschaft Braunschweig ,https://healthhack21.devpost.com/
HibernationHacks,Online,open,"Jan 07 - 09, 2022",about 4 hours left,"['Beginner Friendly', 'Open Ended']",208,Major League Hacking,https://hibernationhacks.devpost.com/
SheHacks+ 6,Online,open,"Jan 07 - 09, 2022",about 6 hours left,['Education'],185,Women in Technology Society,https://shehacks-vi.devpost.com/
