Event Title,Location,Event State,Event Duration,Time Left,Registered Count,Theme,Event URL
NEAR MetaBUILD Hackathon,Online,open,"Dec 22, 2021 - Feb 10, 2022",about 1 month left,1243,"['Blockchain', 'Beginner Friendly']",https://metabuild.devpost.com/
Flutter Puzzle Hack ,Online,open,"Jan 06 - Feb 28, 2022",about 2 months left,914,"['Design', 'Gaming', 'Web']",https://flutterhack.devpost.com/
AWS Deep Learning Challenge,Online,open,"Jan 05 - Feb 14, 2022",about 1 month left,1103,"['DevOps', 'Machine Learning/AI', 'Open Ended']",https://amazon-ec2-dl1.devpost.com/
AWS Disaster Response Hackathon,Online,open,"Dec 01, 2021 - Feb 07, 2022",about 1 month left,1036,"['Machine Learning/AI', 'Social Good']",https://awsdisasterresponse.devpost.com/
DevRev Hackathon - Coding with AI,Online,open,"Nov 01, 2021 - Mar 31, 2022",3 months left,1017,"['Machine Learning/AI', 'Productivity', 'Beginner Friendly']",https://devrevhack0.devpost.com/
Stratis Build Hackathon,Online,open,"Nov 29, 2021 - Jan 30, 2022",23 days left,450,"['Blockchain', 'AR/VR', 'Gaming']",https://stratis.devpost.com/
HubSpot Themes Challenge 2021,Online,open,"Dec 01, 2021 - Jan 31, 2022",24 days left,803,"['Enterprise', 'Design', 'Web']",https://hubspot.devpost.com/
Digital HQ Slackathon,Online,open,"Nov 16, 2021 - Feb 01, 2022",25 days left,394,"['Productivity', 'Enterprise', 'Communication']",https://slack.devpost.com/
Convergence - Serum & Wormhole Hackathon,Online,open,"Jan 07 - 31, 2022",24 days left,341,"['Blockchain', 'Fintech']",https://serum-wormhole-hackathon.devpost.com/
NEAR MetaBUILD Hackathon,Online,open,"Dec 22, 2021 - Feb 10, 2022",about 1 month left,1243,"['Blockchain', 'Beginner Friendly']",https://metabuild.devpost.com/
Flutter Puzzle Hack ,Online,open,"Jan 06 - Feb 28, 2022",about 2 months left,914,"['Design', 'Gaming', 'Web']",https://flutterhack.devpost.com/
AWS Deep Learning Challenge,Online,open,"Jan 05 - Feb 14, 2022",about 1 month left,1103,"['DevOps', 'Machine Learning/AI', 'Open Ended']",https://amazon-ec2-dl1.devpost.com/
AWS Disaster Response Hackathon,Online,open,"Dec 01, 2021 - Feb 07, 2022",about 1 month left,1036,"['Machine Learning/AI', 'Social Good']",https://awsdisasterresponse.devpost.com/
DevRev Hackathon - Coding with AI,Online,open,"Nov 01, 2021 - Mar 31, 2022",3 months left,1017,"['Machine Learning/AI', 'Productivity', 'Beginner Friendly']",https://devrevhack0.devpost.com/
Stratis Build Hackathon,Online,open,"Nov 29, 2021 - Jan 30, 2022",23 days left,450,"['Blockchain', 'AR/VR', 'Gaming']",https://stratis.devpost.com/
HubSpot Themes Challenge 2021,Online,open,"Dec 01, 2021 - Jan 31, 2022",24 days left,803,"['Enterprise', 'Design', 'Web']",https://hubspot.devpost.com/
